index,X,Y,cell_type
1389,1769,2748,2
1390,1736,2777,2
1391,1763,2819,2
1392,1813,2789,2
1393,1441,2820,2
1394,1450,2885,2
1395,1856,2828,2
1396,1889,2837,2
1397,1934,2815,2
1398,1960,2891,2
1399,1989,2887,2
1400,1695,3068,2
1401,1834,3067,2
1402,1765,3137,2
1403,1787,3188,2
1404,1798,3242,2
1405,1818,3301,2
1406,1890,3361,2
1407,1830,3366,2
1408,1786,3385,2
1409,1729,3384,2
1410,1772,3446,2
1411,1852,3432,2
1412,1614,3491,2
1413,1579,3592,2
1414,1645,3587,2
1415,1610,3644,2
1416,1689,3687,2
1417,1732,3613,2
1418,1715,3562,2
1419,1697,3537,2
1420,1696,3488,2
1421,1666,3494,2
1422,1782,3639,2
1423,1784,3690,2
1424,1819,3643,2
1425,1818,3592,2
1426,1856,3640,2
1427,1909,3654,2
1428,1918,3700,2
1429,1078,3,2
1430,1030,33,2
1431,996,42,2
